Absolute performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
            Scb2804m  boaos  scip  virt. best  virt. worst
0.005000           0     13    17          21            0
0.105063          33     72    72          96           22
0.205126          67     86    95         121           48
0.305188          83     93   109         138           55
0.405251         102     97   119         146           71
0.505314         108    103   124         154           74
0.605377         113    106   131         159           79
0.705439         115    108   142         165           81
0.805502         120    109   145         167           84
0.905565         123    111   150         170           87
1.005628         127    112   157         175           89
1.105690         129    112   159         176           91
1.205753         131    113   162         179           93
1.305816         135    113   168         185           94
1.405879         138    116   171         190           96
1.505942         142    118   173         192           97
1.606004         146    119   179         197          100
1.706067         149    121   180         200          101
1.806130         150    123   183         203          102
1.906193         155    125   184         203          104
2.006255         157    127   187         205          107
2.106318         159    127   188         206          107
2.206381         161    128   191         207          109
2.306444         162    131   193         210          110
2.406506         164    132   195         212          111
2.506569         166    132   198         214          112
2.606632         167    132   201         217          112
2.706695         168    134   202         218          114
2.806758         171    135   203         219          116
2.906820         171    137   204         219          116
3.006883         172    138   204         219          117
3.106946         173    138   207         222          117
3.207009         173    140   208         223          119
3.307071         174    140   208         223          120
3.407134         174    140   208         223          120
3.507197         176    141   208         224          121
3.607260         176    143   209         225          121
3.707323         177    143   209         225          121
3.807385         178    143   209         225          122
3.907448         178    143   210         225          122
4.007511         178    143   210         225          122
4.107574         179    144   210         225          123
4.207636         179    144   211         225          123
4.307699         180    144   211         225          124
4.407762         181    144   211         226          124
4.507825         183    145   211         227          125
4.607887         184    145   213         229          125
4.707950         185    145   213         229          126
4.808013         186    145   213         229          127
4.908076         187    145   214         230          128
5.008139         187    145   215         231          128
5.108201         187    145   215         231          128
5.208264         188    145   215         231          128
5.308327         188    145   216         231          128
5.408390         188    146   216         231          128
5.508452         188    146   216         231          128
5.608515         190    146   216         232          129
5.708578         190    147   216         232          129
5.808641         191    147   216         232          129
5.908703         191    147   216         232          129
6.008766         193    147   217         233          130
6.108829         194    148   217         234          131
6.208892         194    148   217         234          131
6.308955         194    148   217         234          131
6.409017         194    148   217         234          131
6.509080         195    151   217         234          133
6.609143         196    151   218         235          134
6.709206         196    151   219         236          134
6.809268         196    152   219         236          134
6.909331         196    153   220         237          134
7.009394         196    153   220         237          134
7.109457         196    153   221         237          134
7.209519         196    153   221         237          134
7.309582         197    153   221         237          135
7.409645         198    153   221         237          136
7.509708         199    153   222         238          137
7.609771         199    153   222         238          137
7.709833         199    153   222         238          137
7.809896         200    153   222         238          138
7.909959         200    153   223         238          138
8.010022         200    153   223         238          138
8.110084         200    153   223         238          138
8.210147         201    153   223         238          139
8.310210         202    154   223         238          139
8.410273         203    154   223         239          139
8.510335         203    155   224         240          139
8.610398         203    155   224         240          139
8.710461         203    155   225         240          139
8.810524         204    155   225         240          139
8.910587         204    155   225         240          139
9.010649         204    156   226         241          139
9.110712         204    156   228         242          139
9.210775         204    156   230         244          139
9.310838         204    156   230         244          139
9.410900         204    157   230         244          140
9.510963         204    157   230         244          140
9.611026         204    157   230         244          140
9.711089         205    157   231         244          140
9.811152         206    157   232         245          141
9.911214         206    157   232         245          141
10.011277        206    157   232         245          141
10.111340        206    157   232         245          141
10.211403        206    157   233         246          141
10.311465        206    158   233         246          142
10.411528        207    158   233         246          143
10.511591        207    158   234         247          143
10.611654        207    158   234         247          143
10.711716        208    158   235         248          144
10.811779        208    159   236         249          145
10.911842        208    159   236         249          145
11.011905        208    159   236         249          145
11.111968        208    159   237         250          145
11.212030        209    159   237         250          146
11.312093        209    159   237         250          146
11.412156        209    159   237         250          146
11.512219        210    160   237         250          147
11.612281        211    160   239         252          148
11.712344        212    160   239         253          148
11.812407        212    160   239         253          148
11.912470        212    160   239         253          148
12.012532        212    160   239         253          148
12.112595        212    160   239         253          148
12.212658        212    160   240         254          148
12.312721        212    161   240         254          148
12.412784        213    161   241         255          148
12.512846        213    161   241         255          148
12.612909        213    162   241         255          149
12.712972        213    162   241         255          149
12.813035        213    162   241         255          149
12.913097        213    162   241         255          149
13.013160        213    162   242         256          149
13.113223        214    162   242         257          149
13.213286        214    162   242         257          149
13.313348        214    163   242         257          150
13.413411        214    163   242         257          150
13.513474        215    163   242         257          150
13.613537        215    163   243         258          150
13.713600        215    163   243         258          150
13.813662        215    163   243         258          150
13.913725        215    163   243         258          150
14.013788        215    163   244         259          150
14.113851        215    164   244         259          151
14.213913        215    164   244         259          151
14.313976        215    165   244         259          152
14.414039        216    165   244         259          152
14.514102        217    165   244         259          153
14.614164        217    165   244         259          153
14.714227        217    165   244         259          153
14.814290        218    165   244         259          153
14.914353        218    165   244         259          153
15.014416        219    165   244         259          154
15.114478        220    165   244         260          154
15.214541        220    165   244         260          154
15.314604        220    165   244         260          154
15.414667        220    165   244         260          154
15.514729        221    165   244         260          154
15.614792        221    165   244         260          154
15.714855        221    165   244         260          154
15.814918        221    165   244         260          154
15.914981        221    165   244         260          154
16.015043        221    165   244         260          154
16.115106        221    165   244         260          154
16.215169        221    165   244         260          154
16.315232        221    165   244         260          154
16.415294        221    165   244         260          154
16.515357        221    165   244         260          154
16.615420        221    165   246         262          154
16.715483        221    165   246         262          154
16.815545        221    166   246         262          155
16.915608        221    166   246         262          155
17.015671        221    166   246         262          155
17.115734        221    166   246         262          155
17.215797        221    167   246         262          156
17.315859        221    167   246         262          156
17.415922        221    167   246         262          156
17.515985        221    167   246         262          156
17.616048        221    167   246         262          156
17.716110        221    167   246         262          156
17.816173        221    167   247         263          156
17.916236        221    167   248         264          156
18.016299        221    167   248         264          156
18.116361        222    167   248         264          156
18.216424        222    167   248         264          156
18.316487        222    167   248         264          156
18.416550        222    167   248         264          156
18.516613        222    167   248         264          156
18.616675        222    167   249         265          156
18.716738        222    167   249         265          156
18.816801        222    167   249         265          156
18.916864        222    167   249         265          156
19.016926        222    168   250         266          157
19.116989        222    168   250         266          157
19.217052        222    168   250         266          157
19.317115        222    168   250         266          157
19.417177        222    168   250         266          157
19.517240        222    168   250         266          157
19.617303        222    168   250         266          157
19.717366        223    168   251         267          157
19.817429        224    168   251         268          157
19.917491        224    168   251         268          157
20.017554        224    168   251         268          157
20.117617        224    168   251         268          157
20.217680        224    168   251         268          157
20.317742        225    168   251         268          157
20.417805        225    168   251         268          157
20.517868        226    168   251         269          157
20.617931        226    168   251         269          157
20.717993        226    168   251         269          157
20.818056        226    168   251         269          157
20.918119        227    168   251         270          157
21.018182        227    168   251         270          157
21.118245        227    168   251         270          157
21.218307        227    168   251         270          157
21.318370        227    168   251         270          157
21.418433        227    168   251         270          157
21.518496        227    168   251         270          157
21.618558        227    168   251         270          157
21.718621        227    168   251         270          157
21.818684        227    168   251         270          157
21.918747        227    168   251         270          157
22.018809        227    168   251         270          157
22.118872        227    168   251         270          157
22.218935        228    168   251         270          157
22.318998        228    168   251         270          157
22.419061        228    168   251         270          157
22.519123        228    168   251         270          157
22.619186        229    168   251         270          157
22.719249        229    168   251         270          157
22.819312        229    168   251         270          157
22.919374        229    168   251         270          157
23.019437        229    168   251         270          157
23.119500        229    168   251         270          157
23.219563        229    168   251         270          157
23.319626        229    168   251         270          157
23.419688        230    168   251         270          157
23.519751        230    168   252         271          157
23.619814        230    168   252         271          157
23.719877        230    168   252         271          157
23.819939        230    168   252         271          157
23.920002        231    168   252         271          157
24.020065        231    168   252         271          157
24.120128        231    168   253         272          157
24.220190        232    168   253         273          157
24.320253        232    168   254         274          157
24.420316        232    168   254         274          157
24.520379        232    168   254         274          157
24.620442        233    168   254         274          158
24.720504        233    168   254         274          158
24.820567        233    168   254         274          158
24.920630        233    168   254         274          158
25.020693        233    168   254         274          158
25.120755        233    168   254         274          158
25.220818        233    168   254         274          158
25.320881        233    168   254         274          158
25.420944        233    168   254         274          158
25.521006        234    169   254         274          159
25.621069        234    169   254         274          159
25.721132        234    169   254         274          159
25.821195        235    169   254         275          159
25.921258        235    169   254         275          159
26.021320        235    169   254         275          159
26.121383        235    169   254         275          159
26.221446        235    169   254         275          159
26.321509        235    169   254         275          159
26.421571        235    169   254         275          159
26.521634        235    169   254         275          159
26.621697        235    169   254         275          159
26.721760        235    169   255         275          159
26.821822        236    169   255         275          160
26.921885        236    169   255         275          160
27.021948        236    169   255         275          160
27.122011        236    169   255         275          160
27.222074        236    169   255         275          160
27.322136        236    169   255         275          160
27.422199        236    169   255         275          160
27.522262        236    169   255         275          160
27.622325        236    169   255         275          160
27.722387        236    169   255         275          160
27.822450        236    169   255         275          160
27.922513        236    169   255         275          160
28.022576        237    170   255         276          161
28.122638        237    170   255         276          161
28.222701        237    170   255         276          161
28.322764        238    170   255         276          161
28.422827        238    170   255         276          161
28.522890        238    170   255         276          161
28.622952        238    170   255         276          161
28.723015        238    170   255         276          161
28.823078        238    170   255         276          161
28.923141        238    170   255         276          161
29.023203        238    170   255         276          161
29.123266        238    170   255         276          161
29.223329        238    170   255         276          161
29.323392        238    170   255         276          161
29.423455        238    170   255         276          161
29.523517        238    170   255         276          161
29.623580        238    170   255         276          161
29.723643        238    170   256         277          161
29.823706        238    170   256         277          161
29.923768        238    170   256         277          161
30.023831        238    170   256         277          161
30.123894        238    170   256         277          161
30.223957        238    170   256         277          161
30.324019        238    170   256         277          161
30.424082        238    170   257         277          161
30.524145        238    170   257         277          161
30.624208        238    170   257         277          161
30.724271        238    170   257         277          161
30.824333        238    170   257         277          161
30.924396        238    170   257         277          161
31.024459        238    170   258         278          161
31.124522        238    170   258         278          161
31.224584        239    170   258         278          161
31.324647        239    170   258         278          161
31.424710        239    170   258         278          161
31.524773        239    170   258         278          161
31.624835        239    170   258         278          161
31.724898        239    170   258         278          161
31.824961        239    170   258         278          161
31.925024        239    170   258         278          161
32.025087        239    170   258         278          161
32.125149        239    170   259         279          161
32.225212        239    170   259         279          161
32.325275        239    170   259         279          161
32.425338        239    170   259         279          161
32.525400        239    170   259         279          161
32.625463        239    170   259         279          161
32.725526        239    170   259         279          161
32.825589        239    170   260         280          161
32.925651        239    170   260         280          161
33.025714        239    170   260         280          161
33.125777        239    171   260         280          162
33.225840        239    171   261         281          162
33.325903        239    171   261         281          162
33.425965        239    171   262         281          162
33.526028        240    171   262         281          162
33.626091        240    171   262         281          162
33.726154        240    171   262         281          162
33.826216        240    171   262         281          162
33.926279        240    171   262         281          162
