                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
ball_mk2_10                   1.00=  1029.00-  1.00=  1.00=    1179602.00-    14339.00-    1179602.00-
batchs101006m                 1.00=   129.00-  1.00=  1.00=      11760.00-   154196.00-     154196.00-
batchs121208m                 1.00=   168.00-  1.00=  1.00=     111060.00-   234168.00-     234168.00-
batchs151208m                 1.00=   303.00-  1.00=  1.00=     149983.00-   140160.00-     149983.00-
batchs201210m                 1.00=    60.00-  1.00=  1.00=     100648.00-   398371.00-     398371.00-
clay0204hfsg                  1.00=    77.00-  1.00=  1.00=      33240.00-    71596.00-      71596.00-
clay0204h                     1.00=    62.00-  1.00=  1.00=      30213.00-    86614.00-      86614.00-
clay0205hfsg                  1.00=    83.00-  1.00=  1.00=     320580.00-  2666985.00-    2666985.00-
clay0205h                     1.00=   113.00-  1.00=  1.00=     510896.00-  1330537.00-    1330537.00-
clay0205m                     1.00=    73.00-  1.00=  1.00=     121740.00-   475295.00-     475295.00-
clay0304hfsg                  1.00=    90.00-  1.00=  1.00=      24319.00-   703817.00-     703817.00-
clay0304h                     1.00=   105.00-  1.00=  1.00=      98786.00-   972673.00-     972673.00-
clay0304m                     1.00=   134.00-  1.00=  1.00=       5236.00-   304370.00-     304370.00-
clay0305hfsg                  1.00=    90.00-  1.00=  1.00=     264582.00-  2592766.00-    2592766.00-
clay0305h                     1.00=    83.00-  1.00=  1.00=     845086.00-  2764503.00-    2764503.00-
clay0305m                     1.00=    72.00-  1.00=  1.00=     161816.00-   357972.00-     357972.00-
color_lab2_4x0                1.00=    29.00-  1.00=  1.00=     201319.00-   174372.00-     201319.00-
color_lab6b_4x20              1.00=   402.00-  1.00=  1.00=     127629.00-   318124.00-     318124.00-
cvxnonsep_normcon20           1.00=  1016.00-  1.00=  1.00=     635721.00-      357.00-     635721.00-
cvxnonsep_normcon30           1.00=  1020.00-  1.00=  1.00=   14695667.00-      851.00-   14695667.00-
cvxnonsep_normcon40           1.00=   606.00-  1.00=  1.00=    4460118.00-     2793.00-    4460118.00-
cvxnonsep_nsig20              1.00=  1303.00-  1.00=  1.00=     300311.00-      332.00-     300311.00-
cvxnonsep_nsig30              1.00=  1737.00-  1.00=  1.00=   10428317.00-      443.00-   10428317.00-
cvxnonsep_nsig40              1.00=  1672.00-  1.00=  1.00=   14938157.00-     1209.00-   14938157.00-
cvxnonsep_pcon40              1.00=  1574.00-  1.00=  1.00=    8063219.00-     1051.00-    8063219.00-
cvxnonsep_psig20              1.00=  1628.00-  1.00=  1.00=         40.00-      133.00-       1628.00-
cvxnonsep_psig30              1.00=  1686.00-  1.00=  1.00=   11601827.00-      686.00-   11601827.00-
cvxnonsep_psig40              1.00=  1658.00-  1.00=  1.00=   24856701.00-      784.00-   24856701.00-
du-opt                        1.00=   488.00-  1.00=  1.00=      72483.00-     1204.00-      72483.00-
flay04h                       1.00=   173.00-  1.00=  1.00=     474936.00-    93609.00-     474936.00-
flay04m                       1.00=   261.00-  1.00=  1.00=     173446.00-    32141.00-     173446.00-
