                         SHOT_cpx_m.1  SHOT_cpx_m_ecp.1  SHOT_cpx_m_ecp_nonlp.1  SHOT_cpx_m_opt_nosp.1  SHOT_cpx_m_opt_sp.1  SHOT_cpx_m_t1.1  SHOT_cpx_s.1  SHOT_cpx_s_ecp.1  SHOT_cpx_s_nomiqp.1  SHOT_cpx_s_t1.1  SHOT_grb_m.1  SHOT_grb_m_t1.1  SHOT_grb_s.1  SHOT_grb_s_nomiqp.1  SHOT_grb_s_t1.1  virt. best  virt. worst
slay05h                           415               415                     415                    415                  415              270             1                 1                  209                1           123               28             1                 1722                1           1         1722
slay05m                             1                 1                       1                      1                    1               25             1                 1                   37                1             4                4             1                 3066                1           1         3066
slay06h                          1087              1087                    1087                   1087                 1087             1087             1                 1                  401                1           256               70             1                 3467                1           1         3467
slay06m                             1                 1                       1                      1                    1               27             1                 1                  107                1             8               12             1                 4635                1           1         4635
slay07h                          2469              2469                    2469                   2469                 2469             1702             1                 1                  499                1           197               92             1                 7239                1           1         7239
slay07m                            49                49                      49                     49                   49               47             1                 1                  751                1            32               36             1                 5171                1           1         5171
slay08h                          4033              4033                    4033                   4033                 4033             1449             1                 1                 1722                1           442              218             1                 5561                1           1         5561
slay08m                            78                78                      78                     78                   78               96             1                 1                  401                1           100               73             1                 4628                1           1         4628
slay09h                          3789              3789                    3789                   3789                 3789             1504             1                 1                 6000                1           697              328             1                 8765                1           1         8765
slay09m                           136               136                     136                    136                  136              152             1                 1                 2350                1           214              132             1                 4857                1           1         4857
slay10h                         37018             37018                   37018                  37018                37018            14257             1                 1               172373                1          6491             3533             1               117869                1           1       172373
slay10m                          1206              1206                    1206                   1206                 1206             1530             1                 1                63848                1           851              878             1                96619                1           1        96619
smallinvDAXr1b010-011            1910               390                     665                   7124                 7124             2214          1246              1218                 1179              900          1379             1731           616                  616              696         390         7124
smallinvDAXr1b020-022            1932              2590                    1611                   6898                 6896             1814           972              2582                 1545             1367          1264             1190          1231                 1231              857         857         6898
smallinvDAXr1b050-055             615              1469                    1073                   4822                 4795              986          1269              2930                  782             1215          2357             1151          1966                 1966             1153         615         4822
smallinvDAXr1b100-110               1                84                      16                    176                  176               40           945               300                 1219              360           156              411           580                  580              661           1         1219
smallinvDAXr1b150-165               1                 1                      15                      1                    1                1           241               226                  221              330            12               10             1                    1                1           1          330
smallinvDAXr2b010-011            1424               390                     661                   5448                 5499             1496          1464              1466                 1461             1178          2118             1504           872                  872              531         390         5499
smallinvDAXr2b020-022            1245              2590                    1611                  10550                10053              890          1136              1483                 1137             1078          1264             1190          1231                 1231              857         857        10550
smallinvDAXr2b050-055             615              1469                    1073                   4822                 4795              986           727              1981                 1181             1215          2357             2037          1966                 1966             1153         615         4822
smallinvDAXr2b100-110               1                84                      16                    176                  176               40           787               682                 1004              360           156              411           693                  693              827           1         1004
smallinvDAXr2b150-165               1                 1                      15                      1                    1                1           109               226                  109              330             9               10             1                    1                1           1          330
smallinvDAXr3b010-011            3288              1137                    1106                   5921                 6055             2769           889              1821                 1114              915          2449             1194          1019                 1019              508         508         6055
smallinvDAXr3b020-022             888              1139                    1176                   6612                 6612             1050          1346              1420                 1433             1337          1600             2123          1132                 1132              289         289         6612
smallinvDAXr3b050-055             889               329                     890                   3928                 3928               60          2016              1445                 1447             1170          1144              866          2641                 2641             1719          60         3928
smallinvDAXr3b100-110               1                70                      70                    308                  308               60           786              1130                  638              440           159              149           646                  646              841           1         1130
smallinvDAXr4b010-011            1176               343                     374                   8800                 8719             2065          1125              1048                 1139              904          2571             2237           837                  837              625         343         8800
smallinvDAXr4b020-022            1464               618                     912                  10452                10659              595           863              2246                 1438             1147           838              630          1997                 1997             1367         595        10659
smallinvDAXr4b050-055            1714               848                     422                   5185                 4130              567          1538              2029                 1437             1366           907              810          1872                 1872              826         422         5185
smallinvDAXr4b100-110               1                48                     104                    556                  556                1           407               536                  397              389            16               20             9                    9               91           1          556
smallinvDAXr4b150-165               1                 1                       1                     82                    7               20           352               356                  352              446             6                5             1                    1               16           1          446
smallinvDAXr5b010-011            1487              1095                     979                   8618                 8601             1560          1205              1198                 1286             1223          1793             1832          1318                 1318              717         717         8618
smallinvDAXr5b020-022            1193              1042                    1421                   8743                 8888             1293          1108              1779                 1500             1381          1149             1240          1780                 1780              660         660         8888
smallinvDAXr5b050-055             320              1343                    1671                   6407                 6598              937          1383              1687                 1674             1300           763             1345          3668                 3668             2205         320         6598
smallinvDAXr5b100-110               1               505                     505                    561                  561                1          1013               497                 1014             1000           543               64           328                  328              763           1         1014
smallinvDAXr5b150-165               1                10                      14                     21                   21                1           372               110                  372              270            10               16           989                  989              593           1          989
smallinvSNPr1b010-011               1                 1                       1                      1                    1               11             1                 1                    1                7             4                5             1                    1                1           1           11
smallinvSNPr1b020-022               1                 1                       1                      1                    1               10             6                18                    6               12            12                4             1                    1                1           1           18
smallinvSNPr1b050-055              42                 1                      74                     39                   39               66           135                44                  133              144            41               40             1                    1                1           1          144
smallinvSNPr1b100-110               1                23                      23                     70                   70               63            73                50                   73               40            58               63             1                    1                1           1           73
smallinvSNPr1b150-165               1                 1                      41                    107                  107               69            74               128                   74               35            90               95             1                    1                1           1          128
smallinvSNPr1b200-220              39                95                      34                     28                   28               52           132               108                  129               30            49               38             1                    1                1           1          132
smallinvSNPr2b010-011               1                 1                       1                      1                    1                1             1                 1                    1                1             2                3             1                    1                1           1            3
smallinvSNPr2b020-022               1                29                      29                      1                    1               18            21                 1                   21               30            14               12             1                    1                1           1           30
smallinvSNPr2b050-055               1                 1                       1                      1                    1               32             1                 1                    1                1             5                5            27                   27               14           1           32
smallinvSNPr2b100-110             104                72                      80                     76                   76              133           116                77                  107              177           224              219             1                    1                1           1          224
smallinvSNPr2b150-165               1               150                      37                    105                  105               40            75                80                   75               67            49               41             1                    1                1           1          150
smallinvSNPr2b200-220               1               101                     101                    122                  122               25            64                 2                   64               65           142              141             1                    1                1           1          142
