                       dicopt  muriqui  shot  baron  aoa  knitro  alphaecp  knitrobb  scip  bbb  sbb  mtaurbnb  juniper  lindo  boa  mtaurqg  pavito  antigone  couenne  bhyb  virt. best  virt. worst
ball_mk2_10               1.0        -     -      -    -       -         -         -     -    -    -         -        -      -    -        -       -         -        -     -         1.0            -
ball_mk2_30               1.0        -   1.0      -    -     1.0       1.0       1.0     -  1.0    -       1.0      1.0    1.0    -      1.0     1.0         -        -     -         1.0            -
ball_mk3_10               1.0        -     -      -    -       -         -         -     -    -    -         -        -      -    -        -       -         -        -     -         1.0            -
ball_mk3_20               1.0      1.0   1.0    1.0  1.0     1.0       1.0         -     -  1.0    -         -      1.0    1.0  1.0      1.0     1.0         -        -   1.0         1.0            -
ball_mk3_30               1.0      1.0   1.0    1.0  1.0     1.0       1.0         -     -  1.0    -       1.0      1.0    1.0  1.0      1.0     1.0         -        -   1.0         1.0            -
ball_mk4_05               1.0        -     -      -    -       -         -         -     -    -    -         -        -      -  1.0      1.0       -       1.0      1.0   1.0         1.0            -
ball_mk4_10                 -      1.0   1.0    1.0  1.0       -       1.0       1.0     -  1.0    -         -      1.0    1.0  1.0        -     1.0       1.0      1.0   3.0         1.0            -
ball_mk4_15               1.0      1.0   1.0    1.0    -       -       1.0       1.0   1.0  1.0    -       1.0      1.0    1.0  1.0        -     1.0       1.0      1.0   3.0         1.0            -
clay0205m                   -        -     -      -    -       -         -         -     -    -    -         -      1.0      -    -        -       -         -        -     -         1.0            -
clay0304m                 1.0        -     -      -    -       -         -         -     -    -    -         -      1.0      -    -        -       -         -        -     -         1.0            -
cvxnonsep_normcon30       1.0        -     -      -    -       -       1.0         -     -    -    -         -        -      -  1.0        -       -         -        -   1.0         1.0            -
cvxnonsep_normcon40       1.0        -   1.0      -    -     1.0       1.0         -   1.0    -    -         -        -      -  1.0        -       -         -        -   1.0         1.0            -
cvxnonsep_nsig30            -        -     -      -    -       -       1.0         -   1.0    -    -         -        -      -    -        -       -         -      1.0   1.0         1.0            -
cvxnonsep_nsig40          1.0        -     -      -    -     1.0       1.0         -   1.0    -    -         -        -      -    -        -       -       1.0      1.0   1.0         1.0            -
cvxnonsep_pcon30            -        -     -      -    -       -         -         -     -    -    -         -        -      -    -        -       -         -        -   1.0         1.0            -
